wage,exper,union,goodhlth,black,female,married,service,educ,looks,Cluster_Hierarchical,Cluster_KMeans
4.37,19,0,1,0,1,0,1,17,2,1,0
5.77,30,0,1,0,0,1,0,13,3,0,1
5.77,21,0,1,0,0,1,1,17,4,0,1
12.31,9,0,1,0,0,1,1,17,4,0,1
19.08,29,1,1,0,0,1,1,17,3,0,1
7.55,9,0,1,0,1,0,1,17,3,1,0
5.9,18,0,1,0,1,0,1,17,4,1,0
6.37,26,0,1,0,1,0,1,17,3,1,0
6.15,21,1,1,0,0,1,1,17,4,0,1
1.92,12,1,1,0,1,1,1,17,2,1,0
3.27,11,0,1,0,0,0,1,17,3,0,1
2.18,18,0,1,0,0,0,1,17,4,0,1
5.62,22,0,1,0,0,1,1,17,3,0,1
9.29,38,0,1,0,1,0,1,17,4,1,0
6.41,10,1,1,0,1,1,1,17,3,1,0
7.46,22,1,1,0,1,1,1,16,3,1,0
6.59,16,1,1,0,1,0,1,17,2,1,0
6.73,20,1,1,0,1,1,1,17,2,1,0
5.61,14,1,1,0,1,1,1,16,3,1,0
3.65,14,0,1,0,1,1,1,16,4,1,0
13.01,15,1,1,0,0,1,1,17,4,0,1
6.97,18,1,1,0,0,0,1,17,3,0,1
7.69,21,1,1,0,1,1,1,17,3,1,0
6.73,15,0,1,0,0,1,1,16,3,0,1
5.13,10,1,1,0,1,0,1,17,3,1,0
2.14,6,0,1,0,1,1,1,16,4,1,0
4.53,8,1,1,0,1,1,1,14,2,1,0
9.1,18,0,1,0,1,0,1,17,2,1,0
9.78,15,1,1,0,1,0,1,17,3,1,0
3.63,11,0,1,0,1,1,1,13,4,1,0
7.21,20,1,0,1,1,1,1,17,3,1,0
10.62,18,1,1,0,1,1,1,17,3,1,0
4.62,10,1,1,0,1,1,1,17,3,1,0
6.54,26,1,1,0,1,0,1,14,3,1,0
12.12,35,1,0,0,1,0,1,17,3,1,0
7.21,30,1,1,0,1,1,1,16,4,1,0
6.25,6,1,0,0,1,0,1,16,4,1,0
3.85,13,1,1,0,1,1,1,17,3,1,0
3.03,10,0,0,0,1,1,1,16,3,1,0
2.01,16,0,1,0,1,1,1,16,3,1,0
3.9,5,1,1,0,1,1,1,17,4,1,0
6.35,11,1,1,0,1,0,1,17,3,1,0
2.0,6,0,1,0,1,1,1,14,4,1,0
7.69,22,1,1,0,0,1,1,17,3,0,1
2.63,4,0,1,0,1,0,1,12,3,1,0
5.0,15,1,1,0,1,1,1,17,4,1,0
6.54,7,0,1,0,1,0,1,17,3,1,0
5.19,10,0,1,0,1,1,1,16,3,1,0
9.75,8,1,1,0,1,1,1,16,3,1,0
2.81,14,0,1,1,1,1,0,13,3,1,0
4.62,11,1,1,0,0,1,1,17,3,0,1
7.33,34,1,1,0,0,1,1,17,3,0,1
7.69,12,1,1,0,0,1,1,17,4,0,1
3.26,10,1,1,0,0,1,1,17,3,0,1
5.77,11,0,1,0,1,0,1,17,2,1,0
5.59,8,1,1,0,0,0,1,17,4,0,1
5.13,28,0,1,1,0,0,1,16,3,0,1
14.74,24,1,1,0,0,1,1,17,2,0,1
3.67,8,1,1,0,1,0,1,17,3,1,0
9.73,13,0,1,0,0,1,1,17,4,0,1
3.46,4,1,1,0,0,1,1,13,3,0,1
6.37,43,1,1,0,0,1,1,17,4,0,1
6.58,30,0,1,0,1,1,1,16,3,1,0
10.15,16,1,1,1,0,0,1,16,3,0,1
9.23,19,1,1,0,0,1,1,17,3,0,1
6.75,21,0,0,0,0,1,1,17,3,0,1
10.22,26,0,1,0,1,0,1,17,3,1,0
4.76,8,1,1,0,0,1,1,16,3,0,1
1.76,24,0,1,0,1,0,1,17,3,1,0
12.73,15,1,1,0,0,1,1,17,4,0,1
5.85,26,1,1,0,0,1,0,12,3,0,1
3.17,6,0,0,0,0,1,0,16,3,0,1
5.99,19,0,1,0,0,1,0,12,2,0,1
4.62,4,0,1,0,0,1,0,12,3,0,1
1.8,23,0,1,0,0,1,1,13,4,0,1
5.95,25,0,1,0,0,1,1,13,4,0,1
7.46,18,0,1,0,0,1,0,12,3,0,1
8.7,27,0,1,0,0,1,0,13,2,0,1
3.75,16,0,1,0,0,1,0,10,3,0,1
7.69,20,0,1,0,0,1,1,12,3,0,1
5.24,12,0,0,0,0,1,0,14,3,0,1
10.1,35,0,1,0,0,1,0,12,4,0,1
3.75,36,0,1,0,0,0,0,12,1,0,1
5.79,35,0,1,0,0,1,0,13,3,0,1
5.06,5,0,1,0,0,1,1,17,3,0,1
7.96,15,1,1,0,0,1,0,13,4,0,1
12.82,44,1,1,0,0,1,0,12,3,0,1
8.46,28,0,1,0,0,1,0,13,3,0,1
3.76,2,1,1,0,1,0,1,13,4,1,0
2.86,43,0,1,0,0,1,1,12,3,0,1
11.81,30,1,1,0,0,1,0,10,3,0,1
7.69,26,0,1,0,0,1,0,12,3,0,1
7.21,40,1,0,0,0,1,0,12,3,0,1
2.88,7,0,1,1,1,0,1,13,4,1,0
5.73,10,1,1,0,1,0,0,12,3,1,0
4.49,37,0,1,0,0,1,1,12,2,0,1
9.57,27,1,1,0,0,1,1,17,4,0,1
3.61,5,0,1,0,0,1,1,17,3,0,1
7.77,14,0,1,0,0,1,0,13,2,0,1
9.23,16,0,1,0,0,0,0,16,2,0,1
5.58,4,0,1,0,0,1,0,17,3,0,1
5.34,39,0,1,0,0,1,1,16,3,0,1
5.17,32,1,1,0,0,1,1,12,3,0,1
6.41,16,0,1,0,0,1,1,17,4,0,1
7.4,10,0,1,0,1,0,1,17,4,1,0
6.75,15,0,1,0,0,1,0,17,4,0,1
8.46,10,0,1,0,0,1,1,17,4,0,1
4.61,10,0,1,0,1,0,0,13,3,1,0
8.61,12,0,0,0,1,1,0,12,3,1,0
5.24,4,0,1,0,0,0,0,16,4,0,1
15.38,12,0,1,0,0,0,0,17,3,0,1
2.37,15,0,1,0,1,1,0,12,4,1,0
6.72,37,0,1,0,1,0,0,12,4,1,0
9.4,23,0,1,0,0,1,0,14,4,0,1
7.84,15,0,1,0,0,1,0,16,3,0,1
15.0,10,0,1,0,0,0,0,17,4,0,1
4.7,14,0,1,0,1,1,0,12,4,1,0
11.28,17,0,1,0,0,0,0,13,3,0,1
11.97,24,0,1,0,0,1,0,16,3,0,1
13.99,13,0,1,0,0,1,0,17,4,0,1
3.0,5,0,1,0,1,1,0,13,3,1,0
3.41,20,0,1,0,1,1,0,12,3,1,0
9.62,29,0,1,0,0,1,0,14,4,0,1
6.73,10,0,1,0,0,0,0,16,4,0,1
9.62,36,0,1,0,0,1,1,13,3,0,1
5.19,15,0,1,0,1,1,1,13,3,1,0
4.62,26,0,1,0,1,1,1,12,3,1,0
5.03,13,0,1,0,1,1,1,14,4,1,0
9.84,26,0,1,0,0,1,0,14,3,0,1
5.29,9,1,1,0,0,1,0,12,3,0,1
10.99,40,0,1,0,0,1,0,12,1,0,1
7.08,28,1,0,0,0,1,0,16,3,0,1
8.17,12,0,1,0,0,0,0,16,2,0,1
5.88,25,0,1,0,1,1,1,13,4,1,0
7.92,18,0,1,0,1,1,0,13,4,1,0
4.44,9,0,1,0,0,0,0,17,3,0,1
6.64,9,1,1,0,0,1,0,13,3,0,1
15.8,30,0,0,0,0,1,0,17,4,0,1
9.23,40,0,1,0,1,0,0,14,3,1,0
12.82,36,0,1,0,0,1,0,17,3,0,1
14.18,30,0,1,0,0,1,0,16,4,0,1
11.54,27,1,1,0,0,1,1,12,3,0,1
9.4,22,1,1,0,0,1,1,12,3,0,1
10.39,40,1,1,0,0,1,0,13,3,0,1
5.54,40,0,1,1,0,1,1,12,3,0,1
7.86,21,0,1,0,0,1,0,14,3,0,1
8.17,36,1,0,0,0,1,0,13,3,0,1
4.05,16,0,1,0,1,1,1,12,4,1,0
7.81,36,1,0,0,0,1,0,10,3,0,1
2.56,18,0,1,0,0,1,0,13,3,0,1
12.98,11,0,1,0,0,0,0,16,4,0,1
41.67,16,0,0,0,0,1,0,13,4,0,1
4.81,12,0,1,0,1,1,0,13,4,1,0
1.32,2,1,1,0,0,1,0,10,3,0,1
3.71,4,0,1,0,0,0,0,16,3,0,1
4.81,21,1,1,0,0,1,1,16,3,0,1
4.68,4,0,1,0,0,0,0,12,3,0,1
8.21,32,1,1,0,1,0,1,17,2,1,0
4.03,7,0,1,0,1,0,0,16,3,1,0
4.81,5,0,0,0,0,0,0,13,3,0,1
15.63,23,0,1,0,0,1,0,16,3,0,1
7.69,23,1,1,0,0,1,0,5,3,0,1
7.17,14,0,1,0,0,1,0,13,3,0,1
8.08,13,0,1,0,0,1,0,16,4,0,1
9.03,28,0,1,0,0,1,0,13,3,0,1
6.75,35,0,1,0,0,1,0,14,4,0,1
8.44,16,0,1,0,0,1,0,13,4,0,1
6.0,12,0,1,0,0,1,1,17,4,0,1
6.15,7,0,1,0,0,1,1,17,3,0,1
4.1,25,0,1,0,0,1,1,12,3,0,1
14.17,22,1,1,0,0,1,0,13,3,0,1
6.41,22,0,1,0,0,1,1,17,3,0,1
31.09,32,0,0,0,0,1,0,13,3,0,1
10.29,35,0,1,0,0,1,1,13,4,0,1
5.06,28,0,1,0,0,1,0,12,3,0,1
6.37,18,0,1,0,0,1,0,13,3,0,1
2.98,11,0,1,0,1,0,0,17,3,1,0
13.28,40,0,1,0,0,1,0,13,3,0,1
4.2,10,0,1,0,0,1,0,13,2,0,1
8.92,40,0,1,0,0,1,1,12,3,0,1
2.63,7,0,1,0,1,1,0,16,3,1,0
26.24,24,0,1,0,0,1,0,12,3,0,1
7.54,36,0,1,0,0,0,0,12,4,0,1
8.65,34,0,1,0,0,1,1,13,3,0,1
20.99,44,0,1,0,0,1,0,16,3,0,1
10.26,44,0,1,0,0,1,1,13,3,0,1
8.55,30,0,1,0,0,1,0,16,3,0,1
2.08,23,0,1,0,0,1,0,12,4,0,1
3.0,5,0,0,0,0,0,0,13,3,0,1
6.01,25,0,1,0,0,1,1,16,4,0,1
10.05,14,0,1,0,0,0,0,13,4,0,1
5.73,5,0,1,0,0,1,0,12,3,0,1
5.93,20,0,1,0,0,1,0,12,3,0,1
4.49,1,0,1,0,0,0,0,10,2,0,1
5.66,13,0,1,0,0,0,0,16,4,0,1
10.19,15,0,1,0,0,1,0,12,4,0,1
20.99,35,0,1,0,0,1,0,12,3,0,1
9.05,20,0,1,0,0,1,0,12,4,0,1
3.92,12,0,1,0,0,1,1,12,5,0,1
4.28,7,0,1,0,1,0,1,16,4,1,0
2.75,7,0,1,0,1,0,0,16,3,1,0
2.88,32,0,1,0,0,1,0,12,4,0,1
6.41,13,0,1,0,0,1,0,13,3,0,1
7.69,15,0,1,0,0,1,1,13,3,0,1
3.75,33,0,0,0,1,0,1,10,3,1,0
6.41,48,0,1,0,0,1,0,8,3,0,1
11.54,38,0,1,0,0,1,0,16,4,0,1
11.4,28,0,1,0,0,1,1,16,3,0,1
2.2,18,0,1,0,1,1,0,13,4,1,0
1.65,24,0,1,0,1,0,1,13,1,1,0
6.59,27,0,1,0,0,0,1,12,3,0,1
11.06,24,0,1,0,0,1,0,5,3,0,1
1.63,16,0,1,0,0,1,1,10,3,0,1
3.58,44,0,1,0,1,1,0,12,3,1,0
12.31,14,0,1,0,0,1,0,16,4,0,1
6.66,16,0,1,0,0,1,0,12,3,0,1
10.53,18,0,1,0,1,1,1,16,3,1,0
1.92,18,0,1,0,1,1,1,13,2,1,0
19.23,15,0,1,0,0,1,0,13,4,0,1
7.21,41,0,1,0,0,1,0,12,4,0,1
25.64,28,0,1,0,0,1,0,16,3,0,1
3.85,24,0,1,0,0,1,0,12,3,0,1
10.99,13,0,1,0,0,1,0,12,3,0,1
10.02,22,0,1,0,0,1,0,13,3,0,1
5.31,18,0,1,0,0,1,0,13,4,0,1
7.19,40,0,1,0,0,1,0,13,3,0,1
3.82,17,0,1,0,0,1,0,13,4,0,1
9.62,17,0,1,0,0,1,0,12,3,0,1
9.62,20,0,1,0,0,1,0,16,4,0,1
3.85,30,0,1,0,0,1,1,12,4,0,1
7.5,30,0,1,0,0,1,0,12,3,0,1
6.92,22,0,1,0,0,1,1,12,4,0,1
7.69,7,0,1,0,0,1,0,12,4,0,1
9.23,23,0,1,0,0,0,0,14,3,0,1
1.27,8,0,1,0,1,1,0,13,3,1,0
4.82,31,0,1,0,0,1,0,10,4,0,1
6.75,30,0,1,0,0,1,0,12,3,0,1
8.55,26,0,1,0,0,0,0,13,2,0,1
6.41,24,1,1,0,0,1,0,12,4,0,1
7.44,12,1,1,0,0,1,0,13,3,0,1
1.32,37,0,1,0,1,1,0,12,3,1,0
4.81,16,0,1,0,1,0,0,14,4,1,0
14.35,23,0,1,0,0,1,1,16,3,0,1
2.4,9,0,1,0,0,1,0,10,2,0,1
3.08,14,0,1,0,0,1,1,14,2,0,1
10.66,8,0,1,0,0,0,0,13,5,0,1
7.69,41,0,1,0,0,1,0,16,2,0,1
2.54,5,0,1,0,0,0,0,13,4,0,1
6.38,30,0,1,0,0,1,0,12,3,0,1
4.81,12,0,1,0,0,1,1,17,4,0,1
3.82,24,0,1,0,1,0,0,12,3,1,0
7.4,19,0,1,0,0,1,0,13,3,0,1
7.69,20,0,1,0,0,1,0,12,4,0,1
8.24,23,0,1,0,1,1,1,14,2,1,0
2.63,3,0,1,0,0,0,0,8,3,0,1
5.31,20,0,1,0,0,1,0,13,4,0,1
3.0,45,0,1,0,0,1,0,5,2,0,1
5.7,31,0,1,0,0,1,0,12,3,0,1
17.49,23,0,1,0,0,1,0,13,4,0,1
3.89,7,0,1,0,0,0,1,13,3,0,1
16.14,23,1,1,0,0,1,0,10,3,0,1
18.32,25,0,1,0,0,1,0,13,3,0,1
10.42,28,1,0,0,0,1,0,8,3,0,1
24.73,36,0,1,0,0,1,0,12,3,0,1
7.61,14,0,1,0,0,1,0,13,3,0,1
10.0,41,0,1,0,0,1,0,17,4,0,1
1.68,15,0,1,0,0,1,0,10,3,0,1
5.1,34,0,0,1,0,1,1,17,4,0,1
7.72,20,0,1,0,0,1,0,16,3,0,1
13.46,20,0,1,0,0,1,0,16,4,0,1
17.48,35,0,1,0,0,1,0,17,4,0,1
1.92,25,0,1,1,0,1,0,10,3,0,1
5.09,38,0,1,0,0,1,0,13,4,0,1
6.37,16,0,1,0,1,0,0,17,3,1,0
5.45,6,0,1,0,0,0,0,16,2,0,1
3.82,14,0,1,0,0,1,0,13,3,0,1
20.86,34,0,1,0,0,1,0,8,4,0,1
6.2,8,0,1,0,0,0,1,17,4,0,1
26.22,17,0,1,0,0,1,1,17,3,0,1
2.5,27,0,1,0,0,1,1,12,3,0,1
8.1,13,0,1,0,0,0,0,13,3,0,1
6.21,42,0,1,0,0,1,0,12,3,0,1
5.24,11,0,1,0,0,1,0,16,4,0,1
5.57,12,0,1,0,0,1,0,12,4,0,1
7.6,43,0,1,0,0,1,0,12,4,0,1
17.49,18,0,1,0,0,1,0,16,3,0,1
10.1,17,0,1,0,0,0,0,16,3,0,1
4.33,4,0,1,0,0,0,0,13,2,0,1
5.38,40,0,1,0,0,1,0,12,4,0,1
5.7,14,0,1,0,0,1,0,16,4,0,1
15.73,32,0,1,0,0,1,0,12,3,0,1
3.16,13,0,1,0,1,1,1,12,3,1,0
7.63,34,1,0,0,0,0,0,13,3,0,1
7.69,10,0,1,0,0,0,0,16,3,0,1
3.57,25,0,1,0,0,0,0,10,3,0,1
5.92,11,0,1,0,0,1,0,13,4,0,1
13.12,40,0,1,0,0,1,0,13,3,0,1
38.86,29,0,1,0,0,1,0,13,3,0,1
1.92,30,0,0,0,1,0,0,13,3,1,0
10.12,20,1,1,0,0,1,0,16,3,0,1
12.82,12,0,1,0,0,1,0,16,4,0,1
5.49,20,0,1,0,1,0,0,13,4,1,0
14.79,29,0,1,0,0,1,0,17,3,0,1
10.19,15,0,1,0,0,1,0,17,2,0,1
2.11,37,1,1,0,1,0,0,10,3,1,0
9.28,11,0,1,0,0,0,0,13,3,0,1
5.33,19,0,1,0,0,1,0,13,4,0,1
9.13,13,0,1,0,0,1,0,13,3,0,1
9.89,41,0,1,0,0,1,0,10,3,0,1
6.37,11,0,1,0,0,1,0,10,3,0,1
4.0,26,0,1,0,1,0,0,12,3,1,0
5.09,7,0,1,0,0,1,0,13,4,0,1
5.13,21,0,1,0,0,1,0,12,4,0,1
2.47,1,0,1,0,1,0,0,16,4,1,0
3.29,26,0,1,0,1,1,0,10,3,1,0
3.95,1,0,1,0,1,0,0,12,3,1,0
3.04,12,0,1,0,1,1,0,12,3,1,0
2.27,3,0,1,0,1,1,0,12,2,1,0
3.34,5,0,1,0,1,1,0,12,3,1,0
4.9,5,1,1,0,0,0,0,13,2,0,1
7.21,6,0,1,0,0,1,0,14,3,0,1
3.44,1,0,1,0,0,0,0,12,4,0,1
2.4,6,0,1,0,1,1,0,12,4,1,0
8.26,38,0,1,0,0,1,0,12,3,0,1
10.68,38,0,1,0,0,1,0,12,3,0,1
4.62,37,0,1,0,0,1,0,13,3,0,1
7.55,26,0,1,0,0,1,0,13,4,0,1
6.75,42,0,0,0,0,1,0,13,3,0,1
7.69,42,0,1,0,0,1,0,12,3,0,1
7.25,10,0,1,0,0,1,0,14,3,0,1
8.74,16,0,1,0,0,1,0,12,4,0,1
4.62,34,0,1,0,0,1,0,13,2,0,1
3.33,17,0,1,0,0,0,0,12,2,0,1
4.81,12,0,1,0,1,0,0,12,3,1,0
4.58,24,0,1,0,0,1,0,12,3,0,1
4.09,3,0,1,0,1,1,0,13,3,1,0
1.83,3,0,0,0,1,0,0,13,4,1,0
3.33,14,0,1,0,0,1,0,10,3,0,1
4.72,3,0,0,0,1,0,0,12,3,1,0
3.06,32,0,1,0,0,1,0,12,4,0,1
4.95,9,0,1,0,0,1,0,13,4,0,1
11.54,34,0,1,0,0,1,0,13,3,0,1
5.63,5,0,1,0,0,1,0,14,3,0,1
4.05,10,0,1,0,1,1,0,12,2,1,0
1.16,2,0,1,0,1,0,0,13,4,1,0
4.1,34,0,1,0,1,1,0,8,3,1,0
2.46,17,0,1,0,1,1,0,12,3,1,0
4.11,10,0,1,0,1,0,1,12,4,1,0
6.11,44,0,1,0,1,1,0,13,3,1,0
4.47,11,0,1,0,1,1,0,12,4,1,0
4.62,3,0,1,0,1,0,0,12,4,1,0
1.28,2,0,1,0,1,1,1,13,3,1,0
4.4,25,0,1,0,1,0,0,12,4,1,0
1.27,12,0,1,0,1,1,1,12,3,1,0
3.95,10,0,1,0,1,0,0,12,4,1,0
3.64,8,0,0,0,0,0,0,12,3,0,1
3.75,5,0,1,0,1,0,0,14,4,1,0
3.21,12,0,1,0,1,0,0,13,4,1,0
2.63,6,0,1,0,1,1,1,13,3,1,0
5.64,9,0,1,0,0,1,0,16,3,0,1
3.0,2,0,1,0,1,0,0,12,4,1,0
1.98,7,0,1,0,1,1,0,12,4,1,0
4.81,26,0,1,0,1,0,0,12,3,1,0
2.63,13,0,1,0,1,1,1,13,4,1,0
3.16,27,0,1,0,1,1,0,12,3,1,0
6.27,3,1,1,0,0,0,1,13,3,0,1
4.05,8,0,1,0,1,0,0,13,3,1,0
1.98,8,0,1,0,1,1,0,16,3,1,0
2.18,2,0,1,0,1,1,0,12,4,1,0
2.63,4,0,1,0,1,1,0,12,4,1,0
2.43,1,0,1,0,1,0,0,10,4,1,0
1.98,4,0,1,0,1,0,0,12,4,1,0
4.09,5,0,1,0,1,1,0,12,4,1,0
2.5,12,0,1,0,1,0,1,12,3,1,0
2.51,4,0,1,0,1,0,0,12,5,1,0
3.85,7,1,1,0,1,0,0,10,4,1,0
5.13,5,0,1,0,0,0,0,12,4,0,1
4.81,5,0,1,0,1,0,0,12,3,1,0
4.81,3,0,1,0,0,0,1,13,4,0,1
7.07,8,1,1,1,1,0,0,13,3,1,0
2.31,3,0,1,0,1,0,1,13,4,1,0
3.89,4,0,1,1,1,0,0,16,4,1,0
1.98,25,0,1,0,1,0,0,12,2,1,0
3.75,31,0,0,0,1,0,0,12,4,1,0
1.25,5,0,1,0,1,1,0,12,4,1,0
7.63,11,0,1,0,0,0,1,16,4,0,1
6.54,8,0,1,1,1,0,0,13,3,1,0
13.13,24,0,1,0,0,1,0,16,3,0,1
4.4,3,0,1,0,1,0,0,13,5,1,0
7.69,16,0,1,1,1,1,0,13,3,1,0
3.85,7,0,1,0,0,1,0,10,3,0,1
7.69,25,0,1,0,0,1,0,12,3,0,1
5.0,19,0,1,0,0,0,0,13,3,0,1
8.94,31,1,1,0,0,1,0,10,3,0,1
5.09,7,0,1,0,1,0,0,17,5,1,0
3.16,1,0,1,1,1,0,1,12,3,1,0
10.58,21,0,1,0,0,1,0,13,3,0,1
6.87,5,0,0,1,1,1,0,12,3,1,0
2.14,4,0,1,1,1,0,0,13,4,1,0
5.13,15,0,1,0,1,0,0,16,4,1,0
1.95,10,1,1,0,1,1,1,13,2,1,0
1.92,8,0,1,0,1,1,1,12,4,1,0
2.65,18,0,1,0,1,1,1,13,3,1,0
2.62,10,1,1,0,1,1,1,17,3,1,0
7.91,6,1,1,0,1,0,0,13,4,1,0
8.55,30,1,1,0,0,1,0,12,4,0,1
8.44,19,1,1,0,1,0,0,13,4,1,0
7.96,30,1,1,0,0,1,0,12,3,0,1
7.21,38,0,0,1,0,0,0,12,4,0,1
4.67,4,0,1,0,0,0,0,10,3,0,1
4.28,7,0,1,0,1,0,1,13,4,1,0
3.61,4,0,1,0,1,0,0,13,3,1,0
1.92,2,0,1,0,1,0,0,14,3,1,0
1.68,5,0,1,0,1,1,0,13,3,1,0
4.46,21,0,1,0,1,1,0,12,3,1,0
2.11,12,0,1,0,1,0,0,13,4,1,0
